true,pred,correct,final_gamma_true,n_tokens
cluster-0,cluster-0,True,1.0,107
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,107
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,105
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,97
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,78
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,101
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,0.9999999999859996,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,107
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,114
cluster-0,cluster-0,True,1.0,127
cluster-0,cluster-0,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,126
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,0.9999999999999569,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,91
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,120
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,0.9999999999999998,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-1,cluster-1,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,0.9999999975763028,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,0.9999999999891418,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,0.9999994639895811,127
cluster-2,cluster-2,True,1.0,127
cluster-2,cluster-2,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,0.9999999999999996,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,0.9999999999997873,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,123
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,0.9999999999897031,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,0.9999999999999984,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-3,cluster-3,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,0.9999998586992598,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,114
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,0.9999999994233921,120
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,126
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,125
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,96
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,0.888861945854287,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,126
cluster-4,cluster-4,True,1.0,127
cluster-4,cluster-4,True,1.0,127
