rollout,tau_gamma,tau_eta,winner_gamma,winner_eta,mean_l1_eta_gamma
62,1.0,5.0,cluster-0,cluster-1,0.24094902508484828
63,1.0,3.0,cluster-4,cluster-4,1.3769984568295404
64,1.0,3.0,cluster-2,cluster-4,0.5110274922746204
65,3.0,3.0,cluster-1,cluster-1,1.2193076614853522
66,4.0,2.0,cluster-2,cluster-1,0.13222121219913954
67,1.0,1.0,cluster-2,cluster-2,1.558688692351278
68,1.0,4.0,cluster-2,cluster-1,0.06402911507273357
69,3.0,3.0,cluster-0,cluster-3,1.3721155773108367
70,1.0,4.0,cluster-2,cluster-1,0.32673804708556603
71,3.0,3.0,cluster-0,cluster-4,0.5215884054954726
72,1.0,2.0,cluster-2,cluster-1,0.11758650106215597
73,3.0,3.0,cluster-2,cluster-2,1.1468845536253247
74,7.0,5.0,cluster-0,cluster-3,0.8179378603632451
75,3.0,4.0,cluster-4,cluster-1,0.8242539832546307
76,2.0,2.0,cluster-2,cluster-2,0.3752209530968871
77,4.0,3.0,cluster-0,cluster-1,0.11148662387415588
78,1.0,4.0,cluster-1,cluster-1,1.054328849711636
79,1.0,3.0,cluster-0,cluster-2,0.6077062057947201
80,1.0,1.0,cluster-1,cluster-1,0.11669919497985515
81,1.0,1.0,cluster-2,cluster-2,0.8737406104498565
82,1.0,6.0,cluster-1,cluster-2,0.13448350502504275
83,4.0,5.0,cluster-2,cluster-1,0.053904044401097286
84,8.0,4.0,cluster-2,cluster-1,1.7216093928095086
85,5.0,5.0,cluster-4,cluster-1,1.2869224318610655
86,1.0,1.0,cluster-2,cluster-2,1.1743331088918179
87,1.0,1.0,cluster-2,cluster-2,1.4527993070362315
88,1.0,4.0,cluster-1,cluster-1,0.35283447133148277
89,1.0,1.0,cluster-2,cluster-2,1.82721848104305
90,1.0,1.0,cluster-2,cluster-2,0.04778612647574936
91,1.0,6.0,cluster-1,cluster-3,0.36050063575720404
92,6.0,2.0,cluster-2,cluster-2,0.2543153393402829
93,1.0,5.0,cluster-2,cluster-2,0.09990180039813829
94,1.0,1.0,cluster-2,cluster-2,0.6454844693267533
95,4.0,6.0,cluster-1,cluster-1,0.5453905854089266
96,1.0,1.0,cluster-2,cluster-2,1.5023945584171596
97,2.0,5.0,cluster-4,cluster-4,0.6641652473030123
98,1.0,4.0,cluster-2,cluster-1,0.2112227014874712
99,2.0,3.0,cluster-4,cluster-4,0.3159012121092847
100,1.0,3.0,cluster-1,cluster-1,1.0869239413482172
101,3.0,4.0,cluster-4,cluster-1,1.5301228272677185
102,1.0,1.0,cluster-2,cluster-4,0.12922051547725205
103,1.0,5.0,cluster-1,cluster-1,0.3847721173855904
104,2.0,2.0,cluster-2,cluster-2,0.6149390357789901
105,1.0,1.0,cluster-2,cluster-1,1.8102787761142327
106,5.0,4.0,cluster-2,cluster-1,1.2588381026046307
107,1.0,3.0,cluster-1,cluster-1,1.5792858037410218
108,1.0,5.0,cluster-2,cluster-3,1.5607133742486214
109,1.0,3.0,cluster-1,cluster-1,0.5528497920675293
110,1.0,5.0,cluster-2,cluster-1,1.0259673523195283
111,2.0,4.0,cluster-2,cluster-2,0.5747075077367245
112,5.0,5.0,cluster-4,cluster-4,1.6202681168310094
113,1.0,1.0,cluster-2,cluster-2,1.508752073966381
114,5.0,3.0,cluster-3,cluster-1,1.6571329460021456
115,1.0,4.0,cluster-2,cluster-2,1.5547692300035014
116,4.0,5.0,cluster-2,cluster-3,0.7948625110263385
117,1.0,4.0,cluster-2,cluster-1,1.7162383337128055
118,2.0,9.0,cluster-4,cluster-4,1.9221635839646118
119,1.0,3.0,cluster-2,cluster-1,1.5786781342647136
120,1.0,3.0,cluster-2,cluster-4,1.6352517816018353
121,1.0,3.0,cluster-2,cluster-4,1.1828336563835522
122,1.0,2.0,cluster-2,cluster-1,1.86407022426143
123,4.0,3.0,cluster-4,cluster-2,0.08159140719729654
124,3.0,7.0,cluster-0,cluster-1,0.9220450167767986
125,1.0,3.0,cluster-2,cluster-2,0.18008895367421238
126,1.0,2.0,cluster-4,cluster-4,1.4548634605034492
127,1.0,1.0,cluster-2,cluster-1,0.5995115936141934
128,6.0,6.0,cluster-1,cluster-1,0.7587242734023143
129,1.0,3.0,cluster-2,cluster-2,0.022601269091975452
130,2.0,2.0,cluster-4,cluster-1,1.092539144727533
131,4.0,1.0,cluster-0,cluster-1,0.10677787864586706
132,1.0,2.0,cluster-4,cluster-2,0.05714230336749297
133,1.0,1.0,cluster-2,cluster-2,1.5932343630427246
134,1.0,3.0,cluster-2,cluster-2,1.186543540251222
135,2.0,4.0,cluster-1,cluster-1,0.7676763675634267
136,1.0,3.0,cluster-2,cluster-1,0.45627067622431805
137,3.0,1.0,cluster-1,cluster-1,0.033153148540883415
138,1.0,6.0,cluster-1,cluster-2,1.1312436684065696
139,4.0,3.0,cluster-1,cluster-1,0.2641068961672573
140,1.0,2.0,cluster-1,cluster-1,0.48441126518384353
141,1.0,9.0,cluster-2,cluster-1,1.0258740109953308
142,1.0,4.0,cluster-1,cluster-2,0.1360829871944723
143,3.0,4.0,cluster-2,cluster-1,0.1146095096247872
144,1.0,2.0,cluster-1,cluster-1,0.4805362624505401
145,1.0,4.0,cluster-1,cluster-4,0.3827509297200904
146,4.0,2.0,cluster-1,cluster-1,0.2779297303994118
147,3.0,2.0,cluster-1,cluster-1,1.208750360094027
148,4.0,4.0,cluster-2,cluster-1,0.7412047165451714
149,1.0,8.0,cluster-0,cluster-1,1.478227491467911
150,1.0,3.0,cluster-2,cluster-4,0.3670375198655916
151,1.0,2.0,cluster-4,cluster-4,1.6947526119637346
152,2.0,1.0,cluster-2,cluster-1,0.16638389256767694
153,1.0,2.0,cluster-4,cluster-2,1.0245820498775409
154,1.0,1.0,cluster-2,cluster-1,1.590636613534818
155,2.0,3.0,cluster-2,cluster-1,0.8485419121695023
156,1.0,1.0,cluster-2,cluster-1,1.6375253334088644
157,1.0,5.0,cluster-1,cluster-1,1.1252294707652266
158,1.0,1.0,cluster-2,cluster-2,0.07623389283336253
159,4.0,4.0,cluster-4,cluster-4,0.06584696569065487
160,1.0,5.0,cluster-0,cluster-1,0.22761072994791026
161,1.0,3.0,cluster-2,cluster-4,0.7116866709107541
162,1.0,7.0,cluster-2,cluster-1,0.3646194986648286
163,1.0,3.0,cluster-2,cluster-4,0.4311053385012225
164,1.0,4.0,cluster-0,cluster-4,0.8250400076241183
165,1.0,3.0,cluster-1,cluster-1,0.6851803762814683
166,1.0,4.0,cluster-2,cluster-2,0.2706825245823419
167,2.0,4.0,cluster-2,cluster-2,0.019893803655956856
168,1.0,4.0,cluster-2,cluster-1,1.621332679641537
169,1.0,5.0,cluster-1,cluster-1,0.05063950055438905
170,1.0,3.0,cluster-4,cluster-4,0.7623271422235613
171,1.0,4.0,cluster-0,cluster-2,0.6135132622741198
172,1.0,4.0,cluster-1,cluster-4,0.8559299247790103
173,3.0,5.0,cluster-2,cluster-2,1.4708846506149356
174,1.0,2.0,cluster-0,cluster-2,1.4573168128872638
175,1.0,3.0,cluster-1,cluster-2,1.0767896885753863
176,1.0,4.0,cluster-2,cluster-1,1.6377519856367
177,1.0,3.0,cluster-0,cluster-2,0.5185281587212184
178,2.0,4.0,cluster-1,cluster-1,0.3044209234366226
179,3.0,4.0,cluster-4,cluster-1,0.2470448074035037
180,1.0,1.0,cluster-0,cluster-1,1.2007289223441409
181,3.0,3.0,cluster-1,cluster-1,0.2170395692298833
182,11.0,6.0,cluster-0,cluster-1,0.5814838833431831
183,4.0,4.0,cluster-4,cluster-4,0.09067332423312668
184,1.0,4.0,cluster-2,cluster-1,0.13382945725703557
185,4.0,4.0,cluster-0,cluster-2,0.10361396075437787
186,3.0,4.0,cluster-4,cluster-4,0.3345443720711796
187,3.0,3.0,cluster-0,cluster-3,0.42872078937943814
188,7.0,4.0,cluster-1,cluster-1,1.665008639171043
189,4.0,5.0,cluster-0,cluster-2,0.4199240964258506
190,1.0,2.0,cluster-1,cluster-1,0.7790401197667017
191,1.0,3.0,cluster-2,cluster-1,1.0472314270524128
192,3.0,4.0,cluster-2,cluster-2,0.6959270158384154
193,1.0,4.0,cluster-2,cluster-3,0.16225606049231975
194,2.0,3.0,cluster-4,cluster-1,1.6369903505858119
195,4.0,9.0,cluster-1,cluster-3,1.2415199937473387
196,2.0,3.0,cluster-1,cluster-1,0.6647385950113427
197,1.0,3.0,cluster-1,cluster-2,0.46748667369238
198,1.0,6.0,cluster-3,cluster-2,1.6725227604133686
199,1.0,4.0,cluster-2,cluster-1,1.7014356065623726
