cluster,class,rank,token,n_rollouts_driven,mean_delta_gamma,p_v_given_i,pmi,early_frac,drive_frac
cluster-1,behavioural,3,through,4,0.5380397039174145,0.002561700440425887,0.2752176852185704,0.25379939209726443,0.07142857142857142
cluster-1,behavioural,4,among,3,0.4562289955854668,0.000765789054269954,0.95111667953483,0.14795918367346939,0.05357142857142857
cluster-1,behavioural,5,gently,3,0.4087443993714728,0.0004897940144061634,0.8500646362729256,0.568,0.05357142857142857
cluster-1,behavioural,6,in,3,0.26594708179325544,0.014985364488379047,0.39133434869254735,0.16242864556305137,0.05357142857142857
cluster-1,behavioural,7,eagerly,3,0.4065163184775746,0.00016715192555130984,0.20711838898543,0.42857142857142855,0.05357142857142857
cluster-1,behavioural,8,the,3,0.260612740267796,0.05475197375326044,0.2038201270674933,0.09791252485089463,0.05357142857142857
cluster-1,behavioural,9,one,3,0.36609676267256086,0.005321650839063796,0.06904045899841105,0.019005847953216373,0.05357142857142857
cluster-1,behavioural,10,tend,2,0.4286211049630632,0.00027599503986379056,1.4970336231120918,0.42857142857142855,0.03571428571428571
cluster-1,behavioural,11,warm,2,0.588284959355269,0.0013877497074841307,1.3043106684985935,0.08426966292134831,0.03571428571428571
cluster-1,behavioural,12,above,2,0.47966755216842294,0.0005481028256449926,0.7179440127514223,0.2785714285714286,0.03571428571428571
cluster-1,behavioural,13,boy,2,0.1369103477924521,0.004458680432729125,0.5142261964154393,0.13525305410122165,0.03571428571428571
cluster-1,behavioural,14,with,2,0.16139916401656182,0.013628712813555629,0.4721439073178768,0.01768901569186876,0.03571428571428571
cluster-1,behavioural,15,suddenly,2,0.5051191618812987,0.000979588028812327,-0.2582459507343291,0.12749003984063745,0.03571428571428571
cluster-1,behavioural,16,mysterious,2,0.38409011222216743,0.00010884311431248072,-0.3029226133201419,0.48148148148148145,0.03571428571428571
cluster-1,behavioural,17,unexpectedly,2,0.4589713026952968,1.16617622477658e-05,-0.5348189557439458,0.5,0.03571428571428571
cluster-1,behavioural,18,slowly,2,0.41466431500947526,6.997057348659477e-05,-0.66748492209204,0.11764705882352941,0.03571428571428571
cluster-1,behavioural,19,gentle,1,0.5820961074075608,0.0018075731484036995,1.3565703544329502,0.2543103448275862,0.017857142857142856
cluster-2,behavioural,0,in,16,0.4565393349035173,0.012492826899514559,0.20932355001160996,0.1561626823967712,0.19047619047619047
cluster-2,behavioural,1,a,11,0.24858568559677918,0.0412899173348636,0.07870079231135296,0.11363636363636363,0.13095238095238096
cluster-2,behavioural,2,beneath,10,0.6509763024646121,0.0011244319679885855,0.9375809469332408,0.328719723183391,0.11904761904761904
cluster-2,behavioural,3,quietly,9,0.3844781152860112,0.00025202785489399326,0.3365891745927687,0.703125,0.10714285714285714
cluster-2,behavioural,4,girl,4,0.13774201374963252,0.005110349426927429,0.4287433711943649,0.20501138952164008,0.047619047619047616
cluster-2,behavioural,5,small,3,0.3897036535966613,0.0010856584518510479,0.00911448476789456,0.24372759856630824,0.03571428571428571
cluster-2,behavioural,6,above,3,0.41484278542780967,0.00023264109682522455,-0.14875206498998672,0.5254237288135594,0.03571428571428571
cluster-2,behavioural,7,under,3,0.5842056842431419,0.0007018006420894272,-0.41668150889563105,0.4722222222222222,0.03571428571428571
cluster-2,behavioural,8,eagerly,3,0.24529913006939533,7.366968066132105e-05,-0.6427705704395983,0.9444444444444444,0.03571428571428571
cluster-2,behavioural,9,once,2,0.34475576219716575,0.0024543635715061187,1.2693534468545664,0.060126582278481014,0.023809523809523808
cluster-2,behavioural,10,dark,2,0.5602836359545571,0.003225956542643112,1.226084160016856,0.17087845968712395,0.023809523809523808
cluster-2,behavioural,11,amidst,2,0.43103252619552307,0.0001744808226189183,0.6683468713376666,0.8863636363636364,0.023809523809523808
cluster-2,behavioural,12,quiet,2,0.3185080002923675,0.0005079330614017403,0.6065593835719865,0.5076923076923077,0.023809523809523808
cluster-2,behavioural,13,among,2,0.5028970868155405,0.0005428292259255238,0.6048848543971808,0.22302158273381295,0.023809523809523808
cluster-2,behavioural,14,boy,2,0.16271382527021902,0.004493850520340585,0.5220518582358711,0.20379965457685664,0.023809523809523808
cluster-2,behavioural,15,the,2,0.26535487800374713,0.05892798982582938,0.2772876666883315,0.09587418569454498,0.023809523809523808
cluster-2,behavioural,16,climbed,2,0.34509652129028456,0.0004458954355816802,0.11034355351781233,0.08771929824561403,0.023809523809523808
cluster-2,behavioural,17,mysterious,2,0.4623067857790456,0.00013570730648138107,-0.07499005374613432,0.4117647058823529,0.023809523809523808
cluster-2,behavioural,18,calmly,2,0.5276381751801017,7.754703227507482e-06,-0.47678543296533604,1.0,0.023809523809523808
cluster-2,behavioural,19,quickly,2,0.49477151971817956,4.6528219365044866e-05,-1.5088369551151057,0.45454545454545453,0.023809523809523808
cluster-3,triggered,0,bright,3,0.23483252384720565,0.0017847789396085122,0.08031720505658235,0.4749455337690632,0.42857142857142855
cluster-3,triggered,1,a,3,0.2517475005463892,0.039893689254466805,0.04430787517714352,0.16836883571637,0.42857142857142855
cluster-3,triggered,2,shone,2,0.07359626158329569,5.043940481502318e-05,-1.4990042674997301,0.3333333333333333,0.2857142857142857
cluster-3,triggered,3,down,1,0.1269163030210012,0.0015519816866160982,0.37705917927228505,0.045112781954887216,0.14285714285714285
cluster-3,triggered,4,over,1,0.1506039476154694,0.0010281878673831651,-0.07701039543184418,0.06439393939393939,0.14285714285714285
cluster-3,triggered,5,tall,1,0.2956887389210282,0.0006906318505441638,-0.18370251218388844,0.2768361581920904,0.14285714285714285
cluster-3,triggered,6,trees,1,0.06392554560613456,0.0005858730866975772,-0.6245238056855893,0.21333333333333335,0.14285714285714285
cluster-3,triggered,7,among,1,0.3216997810125221,9.699885541350618e-05,-1.1508536159875469,0.625,0.14285714285714285
cluster-4,behavioural,0,a,9,0.207078034013713,0.040419592382640875,0.05743824874159609,0.12833092833092832,0.2903225806451613
cluster-4,behavioural,1,an,5,0.5439713982383394,0.0024183326723742423,0.5143715754739304,0.043478260869565216,0.16129032258064516
cluster-4,behavioural,2,the,5,0.14870595719779925,0.04855716518534071,0.08374242616307148,0.08784433055733504,0.16129032258064516
cluster-4,behavioural,3,bright,3,0.3980222701550811,0.0020645251592133805,0.22624698535726306,0.4226415094339623,0.0967741935483871
cluster-4,behavioural,4,dawn,3,0.3178829877315848,2.7215962550835532e-05,-0.291679259958304,0.5,0.0967741935483871
cluster-4,behavioural,5,explorer,1,0.6180426995707166,0.001236382298737957,1.5835989830125285,0.1608832807570978,0.03225806451612903
cluster-4,behavioural,6,mountain,1,0.3382728399422282,0.0005209912831159942,1.15345560118452,0.09022556390977443,0.03225806451612903
cluster-4,behavioural,7,group,1,0.4117850170025295,0.0018662374320572933,1.07887326822308,0.35281837160751567,0.03225806451612903
cluster-4,behavioural,8,sea,1,0.23459699755544536,0.0009136787427780498,0.9515142575209135,0.1452991452991453,0.03225806451612903
cluster-4,behavioural,9,grass,1,0.34672871302194547,0.0007270549995723206,0.8223742131981835,0.12903225806451613,0.03225806451612903
cluster-4,behavioural,10,near,1,0.19698815078586984,0.0006298551333193368,0.8035227014237618,0.18012422360248448,0.03225806451612903
cluster-4,behavioural,11,tall,1,0.3192150462872855,0.001842909464156578,0.801346127549273,0.1416490486257928,0.03225806451612903
cluster-4,behavioural,12,ocean,1,0.5239217232949736,0.0002838236094587133,0.6350827717831464,0.18055555555555555,0.03225806451612903
cluster-4,behavioural,13,on,1,0.24100501954931097,0.007426069781727981,0.6253320038305601,0.08328968046097433,0.03225806451612903
cluster-4,behavioural,14,green,1,0.7740654439719764,0.0004004634489622942,0.6246114719158511,0.17647058823529413,0.03225806451612903
cluster-4,behavioural,15,saw,1,0.5671802091611597,0.002297804838220543,0.6053074734008828,0.013559322033898305,0.03225806451612903
cluster-4,behavioural,16,big,1,0.4166674856537569,0.004801673392897413,0.5706828766488359,0.04943273905996758,0.03225806451612903
cluster-4,behavioural,17,across,1,0.24564345366843493,0.0005559832349670689,0.5329892622981403,0.34507042253521125,0.03225806451612903
cluster-4,behavioural,18,under,1,0.09766316506801703,0.0018040295176553836,0.5308733105134706,0.1900647948164147,0.03225806451612903
cluster-4,behavioural,19,looked,1,0.5462593232835691,0.0015629738493479833,0.40271558139979646,0.012468827930174564,0.03225806451612903
