rollout,winner,class,tau,t,token_id,token,delta_gamma,is_content,p_v_given_i,count_i,p_v,pmi_v_i,early_frac,pos_peak_share,specialist_loglik_margin
67,cluster-2,behavioural,1,1,1227,beneath,0.6833294288570824,True,0.0011244319679885855,289.0,0.00044572575176565294,0.9375809469332408,0.328719723183391,0.2906574394463668,-0.12405706884154144
68,cluster-2,behavioural,1,1,108,in,0.4204332722632041,True,0.012492826899514559,3221.0,0.010290554500283535,0.20932355001160996,0.1561626823967712,0.04594846321018317,-0.47733721877737656
69,cluster-0,triggered,3,1,1957,happily,0.12595762745897504,True,0.00021126985139358377,52.0,0.0001538626260543357,0.3141782225773362,0.7307692307692307,0.6923076923076923,-1.1209878831828957
69,cluster-0,triggered,3,3,317,leo,0.5088227608592539,True,0.003866636902863702,969.0,0.0024594226979097683,0.4675773558495546,0.07120743034055728,0.017543859649122806,-0.24595242956252994
70,cluster-2,behavioural,1,1,108,in,0.549658725449393,True,0.012492826899514559,3221.0,0.010290554500283535,0.20932355001160996,0.1561626823967712,0.04594846321018317,-0.28813720874473425
71,cluster-0,triggered,3,3,1051,hill,0.33912417689551533,True,3.5876012500797245e-05,8.0,0.00031724252794708397,-2.2812303423689073,0.375,0.125,-0.8726384549994248
72,cluster-2,behavioural,1,1,32,a,0.497975478455618,True,0.0412899173348636,10648.0,0.038765450702493924,0.07870079231135296,0.11363636363636363,0.030334335086401203,-0.35957130798928766
73,cluster-2,behavioural,3,1,1199,across,0.25608755641306796,True,0.00020549963552894833,52.0,0.0003291391227450996,-0.47437869293477064,0.7884615384615384,0.36538461538461536,-0.7850704782214688
73,cluster-2,behavioural,3,3,421,dark,0.4996640380327685,True,0.003225956542643112,831.0,0.0009604517533597966,1.226084160016856,0.17087845968712395,0.048134777376654635,-0.05686917193874397
74,cluster-0,triggered,7,5,385,named,0.08732076578325088,True,0.0015067925250334838,377.0,0.0044104642447843345,-1.0604953766803167,0.27586206896551724,0.14058355437665782,-1.280165170658702
74,cluster-0,triggered,7,6,693,alice,0.10664058592387632,True,0.001279577779195102,320.0,0.0010714866381412761,0.19051332089281114,0.103125,0.040625,-1.2823282091734547
74,cluster-0,triggered,7,7,165,had,0.5239026668573228,True,0.005022641750111612,1259.0,0.004977535263489747,0.024377583250661417,0.03177124702144559,0.022239872915011914,-0.18780355010342697
75,cluster-4,behavioural,3,2,85,the,0.054491816425597084,True,0.04855716518534071,12488.0,0.04536171596483367,0.08374242616307148,0.08784433055733504,0.024583600256245997,-1.3101460868922994
75,cluster-4,behavioural,3,3,289,bright,0.5315659976597289,True,0.0020645251592133805,530.0,0.0016694888033215293,0.22624698535726306,0.4226415094339623,0.18679245283018867,-0.5362979679671515
76,cluster-2,behavioural,2,2,2094,tower,0.7087536005650052,True,0.00031794283232780703,81.0,0.0001451384565357909,0.7876191105455188,0.1111111111111111,0.06172839506172839,-0.11859213305327199
77,cluster-0,triggered,4,3,365,sun,0.2017677670114761,True,0.0005062503986223612,126.0,0.0011476248448485762,-0.8101731566207677,0.5793650793650794,0.36507936507936506,-1.511974649959214
77,cluster-0,triggered,4,4,1809,rose,0.14995309062768392,True,3.5876012500797245e-05,8.0,0.0001673454334920868,-1.6416239287369923,0.875,0.375,-1.0954822919206468
78,cluster-1,behavioural,1,1,394,under,0.3438316793732435,True,0.0014965928217966114,384.0,0.0010754521697406145,0.34359529183971027,0.2630208333333333,0.20833333333333334,-0.6091154929210791
79,cluster-0,triggered,1,1,222,at,0.5300957416903052,True,0.003037502391734166,761.0,0.0024181811692766475,0.24285707393266787,0.1314060446780552,0.040735873850197106,-0.3145796004390853
80,cluster-1,behavioural,1,1,1131,among,0.30715110580640775,True,0.000765789054269954,196.0,0.0002990010825901266,0.95111667953483,0.14795918367346939,0.1377551020408163,-0.6789462807298801
81,cluster-2,behavioural,1,1,1227,beneath,0.5209306171234769,True,0.0011244319679885855,289.0,0.00044572575176565294,0.9375809469332408,0.328719723183391,0.2906574394463668,-0.32721237777921974
82,cluster-1,behavioural,1,1,364,through,0.36669488798861477,True,0.002561700440425887,658.0,0.0019732485238308623,0.2752176852185704,0.25379939209726443,0.06534954407294832,-0.5679342365131852
83,cluster-2,behavioural,4,1,1592,quietly,0.256145787063161,True,0.00025202785489399326,64.0,0.00018003513460997014,0.3365891745927687,0.703125,0.671875,-0.7849428120917699
83,cluster-2,behavioural,4,4,307,boy,0.23922287335109843,True,0.004493850520340585,1158.0,0.002706078763388626,0.5220518582358711,0.20379965457685664,0.0924006908462867,-1.0105249920817876
84,cluster-2,behavioural,8,4,275,girl,0.07757096927153907,True,0.005110349426927429,1317.0,0.003378632922636444,0.4287433711943649,0.20501138952164008,0.12072892938496584,-1.2242465442458212
84,cluster-2,behavioural,8,7,1024,climbed,0.416405549586653,True,0.0004458954355816802,114.0,0.0004021049041729289,0.11034355351781233,0.08771929824561403,0.05263157894736842,-0.2599514737448523
84,cluster-2,behavioural,8,8,85,the,0.32314653063078086,True,0.05892798982582938,15197.0,0.04536171596483367,0.2772876666883315,0.09587418569454498,0.027242218858985326,-0.5663374833390812
85,cluster-4,behavioural,5,4,776,sea,0.23459699755544536,True,0.0009136787427780498,234.0,0.00035689784394046944,0.9515142575209135,0.1452991452991453,0.05555555555555555,-1.2141211648732195
85,cluster-4,behavioural,5,5,1664,shimmered,0.1540928773855093,True,3.1103957200954895e-05,7.0,0.0001205521606198919,-1.4725296468633857,0.14285714285714285,0.14285714285714285,-0.8100850173395568
86,cluster-2,behavioural,1,1,1227,beneath,0.7176945392776,True,0.0011244319679885855,289.0,0.00044572575176565294,0.9375809469332408,0.328719723183391,0.2906574394463668,-0.08589068961880963
87,cluster-2,behavioural,1,1,1227,beneath,0.36972042546537004,True,0.0011244319679885855,289.0,0.00044572575176565294,0.9375809469332408,0.328719723183391,0.2906574394463668,-0.5626095201187082
88,cluster-1,behavioural,1,1,394,under,0.40258340927624586,True,0.0014965928217966114,384.0,0.0010754521697406145,0.34359529183971027,0.2630208333333333,0.20833333333333334,-0.5065291845662969
89,cluster-2,behavioural,1,1,1227,beneath,0.7901944673359365,True,0.0011244319679885855,289.0,0.00044572575176565294,0.9375809469332408,0.328719723183391,0.2906574394463668,-0.00985392349121117
90,cluster-2,behavioural,1,1,762,once,0.39756612563976995,True,0.0024543635715061187,632.0,0.0006995197741233201,1.2693534468545664,0.060126582278481014,0.05379746835443038,-0.5148903307731905
91,cluster-1,behavioural,1,1,3692,unexpectedly,0.4190374760224445,True,1.16617622477658e-05,2.0,1.3482807437751067e-05,-0.5348189557439458,0.5,0.5,-0.47958946528294
92,cluster-2,behavioural,6,6,823,sound,0.39332068751371,True,0.00026365990973525465,67.0,0.00028710448779211095,-0.0842954837203056,0.05970149253731343,0.05970149253731343,-0.7539637219924193
93,cluster-2,behavioural,1,1,1592,quietly,0.4732247713551125,True,0.00025202785489399326,64.0,0.00018003513460997014,0.3365891745927687,0.703125,0.671875,-0.39567602091478093
94,cluster-2,behavioural,1,1,1227,beneath,0.7208604502350722,True,0.0011244319679885855,289.0,0.00044572575176565294,0.9375809469332408,0.328719723183391,0.2906574394463668,-0.082446774038746
95,cluster-1,behavioural,4,3,1051,hill,0.26665524368570126,True,0.0002254607367901387,57.0,0.00031724252794708397,-0.34316607152110734,0.24561403508771928,0.15789473684210525,-0.5200373463577883
95,cluster-1,behavioural,4,4,108,in,0.27921282797738106,True,0.014985364488379047,3854.0,0.010290554500283535,0.39133434869254735,0.16242864556305137,0.04929942916450441,-0.9134755137643995
96,cluster-2,behavioural,1,1,1227,beneath,0.5903559415888979,True,0.0011244319679885855,289.0,0.00044572575176565294,0.9375809469332408,0.328719723183391,0.2906574394463668,-0.2352718760189978
97,cluster-4,behavioural,2,2,2109,dawn,0.2910501779187142,True,2.7215962550835532e-05,6.0,3.1724252794708394e-05,-0.291679259958304,0.5,0.3333333333333333,-0.47184971366025374
98,cluster-2,behavioural,1,1,394,under,0.662828847430591,True,0.0007018006420894272,180.0,0.0010754521697406145,-0.41668150889563105,0.4722222222222222,0.4722222222222222,-0.14753893035917365
99,cluster-4,behavioural,2,2,417,big,0.4166674856537569,True,0.004801673392897413,1234.0,0.0027544582489005564,0.5706828766488359,0.04943273905996758,0.01539708265802269,-0.46635708661969333
100,cluster-1,behavioural,1,1,880,above,0.32971947540660945,True,0.0005481028256449926,140.0,0.00026965614875502133,0.7179440127514223,0.2785714285714286,0.07857142857142857,-0.6354077042459032
101,cluster-4,behavioural,3,1,394,under,0.09766316506801703,True,0.0018040295176553836,463.0,0.0010754521697406145,0.5308733105134706,0.1900647948164147,0.18142548596112312,-1.2117927503322425
101,cluster-4,behavioural,3,2,85,the,0.082895062430839,True,0.04855716518534071,12488.0,0.04536171596483367,0.08374242616307148,0.08784433055733504,0.024583600256245997,-1.3101460868922994
101,cluster-4,behavioural,3,3,289,bright,0.5089461348984695,True,0.0020645251592133805,530.0,0.0016694888033215293,0.22624698535726306,0.4226415094339623,0.18679245283018867,-0.5362979679671515
102,cluster-2,behavioural,1,1,2367,mysterious,0.4087142976817208,True,0.00013570730648138107,34.0,0.0001443453502159232,-0.07499005374613432,0.4117647058823529,0.4117647058823529,-0.49640625487735424
103,cluster-1,behavioural,1,1,3692,unexpectedly,0.49890512936814907,True,1.16617622477658e-05,2.0,1.3482807437751067e-05,-0.5348189557439458,0.5,0.5,-0.3582402693241695
104,cluster-2,behavioural,2,1,32,a,0.12769509684973546,True,0.0412899173348636,10648.0,0.038765450702493924,0.07870079231135296,0.11363636363636363,0.030334335086401203,-1.1156716857032034
