rollout,tau_gamma,tau_eta,winner_gamma,winner_eta,mean_l1_eta_gamma
70,1.0,1.0,epistolary,epistolary,0.0014613796251725702
71,1.0,1.0,fairy_tale,fairy_tale,1.2959376546071235
72,1.0,2.0,noir_detective,noir_detective,0.02355847138045826
73,1.0,1.0,epistolary,epistolary,0.0016922473900071575
74,1.0,1.0,epistolary,epistolary,0.004635083926626567
75,1.0,3.0,scientific_explainer,absurdist,0.11814281235647475
76,1.0,2.0,noir_detective,noir_detective,0.02371287233022374
77,1.0,2.0,noir_detective,noir_detective,0.02407322089797311
78,1.0,3.0,scientific_explainer,absurdist,0.033686789943860436
79,1.0,2.0,noir_detective,noir_detective,0.023624778000624815
80,1.0,1.0,epistolary,epistolary,0.0019019966944958853
81,1.0,2.0,noir_detective,noir_detective,0.023818991614881074
82,1.0,4.0,scientific_explainer,fairy_tale,0.5435147211100931
83,1.0,5.0,scientific_explainer,base,0.21440342111476185
84,1.0,2.0,noir_detective,noir_detective,0.02394537520423643
85,1.0,6.0,scientific_explainer,absurdist,0.04625824054076384
86,1.0,2.0,noir_detective,noir_detective,0.023688202721607175
87,1.0,1.0,fairy_tale,fairy_tale,0.0027141346631781573
88,1.0,2.0,noir_detective,noir_detective,0.0175654100202777
89,1.0,1.0,fairy_tale,fairy_tale,0.002604083245276687
90,1.0,1.0,epistolary,epistolary,0.02366626649448791
91,2.0,3.0,absurdist,absurdist,0.031473172765735975
92,1.0,1.0,absurdist,absurdist,0.07729698240798417
93,1.0,2.0,noir_detective,noir_detective,0.023304999955995238
94,1.0,1.0,epistolary,epistolary,0.0014245774184396462
95,1.0,1.0,epistolary,epistolary,0.07301655518865144
96,1.0,1.0,epistolary,epistolary,0.0017064716953303718
97,1.0,1.0,epistolary,epistolary,0.0018697797507458093
98,1.0,2.0,noir_detective,noir_detective,0.013613718720783053
99,1.0,1.0,epistolary,epistolary,0.0025309843530838946
100,1.0,1.0,epistolary,epistolary,0.10191548197711058
101,1.0,1.0,epistolary,epistolary,0.0014542525292177584
102,1.0,2.0,noir_detective,noir_detective,0.02452254737990744
103,1.0,3.0,absurdist,absurdist,0.06283707154344806
104,1.0,2.0,noir_detective,noir_detective,0.024106807208277185
105,1.0,1.0,epistolary,epistolary,0.00295457394573911
106,1.0,2.0,noir_detective,noir_detective,0.0180821258484912
107,1.0,2.0,noir_detective,noir_detective,0.013649500134662186
108,1.0,2.0,noir_detective,noir_detective,0.014035820073665349
109,1.0,7.0,scientific_explainer,base,0.32970512045611383
110,1.0,4.0,scientific_explainer,base,0.11936171123674692
111,3.0,4.0,absurdist,fairy_tale,0.31809389864312826
112,1.0,1.0,epistolary,epistolary,0.001488969090281708
113,1.0,1.0,epistolary,epistolary,0.0015452380617609796
114,2.0,2.0,absurdist,absurdist,0.02534988697219676
115,1.0,1.0,fairy_tale,fairy_tale,0.002693252045353549
116,1.0,4.0,scientific_explainer,fairy_tale,0.7489754816017797
117,2.0,4.0,base,fairy_tale,0.14228943006126324
118,1.0,2.0,noir_detective,noir_detective,0.023808849123590648
119,1.0,2.0,scientific_explainer,fairy_tale,0.3759344624460564
120,1.0,2.0,noir_detective,noir_detective,0.024822485638993717
121,1.0,4.0,scientific_explainer,absurdist,0.038591033007770004
122,1.0,1.0,fairy_tale,fairy_tale,0.0025614425747205838
123,1.0,2.0,noir_detective,noir_detective,0.023067256872314156
124,1.0,1.0,epistolary,epistolary,0.20807949572798254
125,1.0,9.0,absurdist,absurdist,0.08124326856907761
126,1.0,2.0,noir_detective,noir_detective,0.024114269658202642
127,1.0,1.0,scientific_explainer,base,0.11270488539609107
128,1.0,2.0,scientific_explainer,fairy_tale,0.5196174216231234
129,1.0,4.0,scientific_explainer,fairy_tale,0.43917290596393277
130,1.0,2.0,noir_detective,noir_detective,0.012889651206122836
131,2.0,2.0,absurdist,absurdist,0.15079577034850783
132,1.0,2.0,noir_detective,noir_detective,0.013326987637611686
133,1.0,2.0,noir_detective,noir_detective,0.0239963878618065
134,1.0,7.0,scientific_explainer,base,0.4969134196482336
135,1.0,2.0,noir_detective,noir_detective,0.0239226396414773
136,1.0,2.0,scientific_explainer,fairy_tale,0.526457312363688
137,1.0,2.0,noir_detective,noir_detective,0.014291897497167695
138,1.0,2.0,noir_detective,noir_detective,0.02314913267651281
139,1.0,2.0,noir_detective,noir_detective,0.02350811205199069
140,1.0,3.0,noir_detective,base,0.1669022062737086
141,1.0,2.0,noir_detective,noir_detective,0.013810246532039978
142,1.0,2.0,noir_detective,noir_detective,0.01765957446795411
143,1.0,1.0,fairy_tale,fairy_tale,0.0024540150512466137
144,1.0,2.0,scientific_explainer,fairy_tale,0.3200129277262537
145,1.0,3.0,absurdist,absurdist,0.029540709419952762
146,1.0,1.0,epistolary,epistolary,0.007076521812555327
147,1.0,8.0,scientific_explainer,absurdist,0.1827570211396198
148,1.0,1.0,fairy_tale,fairy_tale,0.0027374594716690227
149,2.0,4.0,scientific_explainer,absurdist,0.02671601593569199
150,2.0,7.0,absurdist,fairy_tale,0.43374162771298186
151,1.0,1.0,epistolary,epistolary,0.005278395803222423
152,1.0,2.0,noir_detective,noir_detective,0.014149577123265677
153,2.0,5.0,base,base,0.42855557986982185
154,1.0,1.0,scientific_explainer,base,0.24987576732249636
155,1.0,2.0,noir_detective,noir_detective,0.013442446478927053
156,1.0,2.0,scientific_explainer,fairy_tale,0.32961848980229935
157,1.0,1.0,epistolary,epistolary,0.0018997631193310193
158,1.0,1.0,epistolary,epistolary,0.0019061886440609108
159,1.0,10.0,scientific_explainer,base,0.41479016951198044
160,1.0,1.0,epistolary,epistolary,0.01118566989535926
161,1.0,7.0,scientific_explainer,absurdist,0.06534141416104326
162,1.0,2.0,scientific_explainer,fairy_tale,0.24599066631461253
163,1.0,2.0,noir_detective,noir_detective,0.013933724898081397
164,1.0,3.0,scientific_explainer,fairy_tale,0.7164485210626127
165,1.0,6.0,absurdist,absurdist,0.05760764451437919
166,2.0,3.0,absurdist,absurdist,0.014628404410070454
167,1.0,1.0,epistolary,epistolary,0.08380806366347965
168,1.0,2.0,scientific_explainer,fairy_tale,1.022260869948868
169,1.0,2.0,scientific_explainer,fairy_tale,0.46150324961795586
170,1.0,1.0,epistolary,epistolary,0.0018515389201506844
171,1.0,1.0,epistolary,epistolary,0.0016197712203048702
172,1.0,3.0,absurdist,absurdist,0.018500896602280572
173,1.0,1.0,fairy_tale,fairy_tale,0.002644917259674921
174,1.0,2.0,scientific_explainer,fairy_tale,1.5014580030607192
175,1.0,1.0,fairy_tale,fairy_tale,0.0026168329061742293
176,1.0,2.0,noir_detective,noir_detective,0.017011109265306842
177,1.0,1.0,epistolary,epistolary,0.0018747514603166978
178,1.0,3.0,scientific_explainer,noir_detective,0.10301554108885375
179,1.0,3.0,absurdist,absurdist,0.021272264455801642
180,1.0,2.0,noir_detective,noir_detective,0.017557370908156292
181,1.0,6.0,scientific_explainer,absurdist,0.04790642378914674
182,1.0,2.0,scientific_explainer,fairy_tale,0.5703558640284716
183,1.0,1.0,fairy_tale,fairy_tale,0.002581485485283057
184,1.0,1.0,fairy_tale,fairy_tale,0.0026251750367302863
185,1.0,1.0,fairy_tale,fairy_tale,0.002635408221795194
186,1.0,3.0,scientific_explainer,fairy_tale,0.28212198043739845
187,1.0,1.0,epistolary,epistolary,0.0025065863854933793
188,1.0,2.0,scientific_explainer,fairy_tale,0.33489911299109076
189,1.0,1.0,epistolary,epistolary,0.00154506972956981
190,1.0,2.0,noir_detective,noir_detective,0.014497632065866307
191,1.0,2.0,noir_detective,noir_detective,0.01819961371046734
192,1.0,6.0,scientific_explainer,fairy_tale,1.417546296880486
193,1.0,2.0,noir_detective,noir_detective,0.023756031645947456
194,2.0,2.0,absurdist,absurdist,0.006079258334346261
195,1.0,1.0,fairy_tale,fairy_tale,0.002590783053242491
196,2.0,2.0,absurdist,absurdist,0.007021147814015602
197,1.0,2.0,noir_detective,noir_detective,0.01781593294485691
198,1.0,1.0,epistolary,epistolary,0.1815388447479319
199,1.0,6.0,scientific_explainer,absurdist,0.07333451125951032
