rollout,winner,class,t0,t1,is_precommit,span_len,phrase_ids,phrase_text,mean_delta_gamma,p_phrase_given_i,p_phrase_union,phrase_pmi
27,cluster-3,triggered,16,17,False,2,"(676, 2696)",beautiful coral,0.42987454537369224,0.0,0.0,-inf
27,cluster-3,triggered,46,47,False,2,"(164, 660)",you alone,0.17728415174323114,0.0005,0.0001,1.6094379124340996
27,cluster-3,triggered,54,55,False,2,"(93, 730)",to join,0.17965887101034636,0.0165,0.038,-0.8342257788198513
27,cluster-3,triggered,66,67,False,2,"(15, 32)",. a,0.20116669476540622,0.0845,0.127,-0.4074355520954631
27,cluster-3,triggered,94,95,False,2,"(3, 164)",""" you",0.20161624086421226,0.148,0.0573,0.9489116500434212
27,cluster-3,triggered,114,118,False,5,"(141, 488, 13, 106, 723)","but then, she heard",0.1483415342630499,0.0,0.0001,-inf
29,cluster-2,behavioural,15,16,False,2,"(106, 165)",she had,0.13968914385114953,0.2405,0.0798,1.103196585090053
29,cluster-2,behavioural,18,19,False,2,"(93, 656)",to share,0.05830088485536447,0.011,0.034,-1.1284652518177904
29,cluster-2,behavioural,23,24,False,2,"(32, 2973)",a faraway,0.3286058331118284,0.0,0.003,-inf
29,cluster-2,behavioural,61,62,False,2,"(130, 177)",with their,0.2914943068623787,0.0025,0.0162,-1.8687205103641826
29,cluster-2,behavioural,64,66,False,3,"(2090, 976, 60)",##ience fairs,0.2651352346185699,0.0,0.0,-inf
29,cluster-2,behavioural,69,70,False,2,"(1295, 1245)",built walls,0.05825298789159855,0.0,0.0,-inf
29,cluster-2,behavioural,94,95,False,2,"(295, 13)","up,",0.1581896301411204,0.0185,0.0341,-0.6115266522051921
29,cluster-2,behavioural,103,104,False,2,"(13, 85)",", the",0.20805244597384417,0.34,0.2601,0.26787944515560147
29,cluster-2,behavioural,120,121,False,2,"(157, 117)",felt her,0.23752001883465246,0.006,0.0042,0.35667494393873245
31,cluster-0,triggered,1,2,True,2,"(867, 85)",before the,0.1722495692639943,0.012,0.0054,0.7985076962177713
31,cluster-0,triggered,5,6,False,2,"(13, 372)",", alex",0.22463692096066237,0.0665,0.0421,0.45715420697347264
35,cluster-4,behavioural,3,4,True,2,"(346, 1536)",small pond,0.1259984808160586,0.0015,0.0006,0.916290731874156
36,cluster-3,triggered,1,3,False,3,"(289, 541, 2587)",bright flowers swayed,0.25525414153394277,0.0,0.0,-inf
37,cluster-4,behavioural,14,15,False,2,"(417, 13)","big,",0.09412824081364939,0.0875,0.0436,0.6965816430085803
38,cluster-3,triggered,3,5,False,3,"(703, 634, 13)","tall trees,",0.13896127581207104,0.0055,0.005,0.09531017980432477
39,cluster-1,behavioural,4,5,False,2,"(1257, 784)",gentle rain,0.46718676337704845,0.01,0.0026,1.34707364796661
40,cluster-2,behavioural,46,48,False,3,"(141, 85, 666)",but the door,0.2995067996051538,0.0005,0.0001,1.6094379124340996
40,cluster-2,behavioural,57,60,False,4,"(3, 259, 242, 985)",""" this is our",0.21789342842330092,0.0,0.0014,-inf
42,cluster-2,behavioural,3,5,False,3,"(32, 346, 275)",a small girl,0.09400220650184739,0.003,0.0018,0.5108256237659905
42,cluster-2,behavioural,27,28,False,2,"(1150, 13)","deeper,",0.07864303934590414,0.0355,0.0107,1.1992889550135097
42,cluster-2,behavioural,43,44,False,2,"(105, 1127)",thorn,0.3086855887693187,0.0075,0.0015,1.6094379124340996
42,cluster-2,behavioural,46,47,False,2,"(2606, 15)",bush.,0.12072390444643441,0.001,0.0102,-2.3223877202902257
42,cluster-2,behavioural,49,50,False,2,"(251, 280)",what do,0.29476427315143383,0.007,0.0215,-1.1221427860783035
42,cluster-2,behavioural,101,104,False,4,"(115, 259, 632, 13)","of this forest,",0.18070844904898153,0.0,0.0,-inf
43,cluster-1,behavioural,6,7,False,2,"(712, 115)",village of,0.1426937758321652,0.009,0.0034,0.9734491457141035
43,cluster-1,behavioural,11,12,False,2,"(108, 259)",in this,0.3005156135416715,0.071,0.0193,1.3025747811304753
43,cluster-1,behavioural,18,19,False,2,"(693, 609)",alice loved,0.19519878974932128,0.013,0.0056,0.8421827597204325
43,cluster-1,behavioural,21,22,False,2,"(1661, 3816)",write poem,0.2317044148315634,0.0025,0.0005,1.6094379124341005
44,cluster-1,behavioural,10,11,False,2,"(577, 382)",hidden world,0.23766602290195246,0.003,0.0021,0.35667494393873245
44,cluster-1,behavioural,47,48,False,2,"(973, 541)",colorful flowers,0.341642476296826,0.015,0.0109,0.31928741186711207
44,cluster-1,behavioural,78,81,False,4,"(190, 299, 158, 523)",not just for fun,0.22040877445139384,0.0,0.0,-inf
45,cluster-4,behavioural,3,4,False,2,"(869, 712)",tiny village,0.23783195763498746,0.0,0.0008,-inf
45,cluster-4,behavioural,10,11,False,2,"(32, 417)",a big,0.16297392407125544,0.383,0.1885,0.7089369822925805
46,cluster-4,behavioural,1,2,True,2,"(1199, 85)",across the,0.1906637307548121,0.059,0.0336,0.563011376936561
47,cluster-2,behavioural,3,4,True,2,"(814, 776)",quiet sea,0.38826948324102345,0.0005,0.0001,1.6094379124340996
49,cluster-1,behavioural,13,15,False,3,"(1339, 13, 1211)","window, watching",0.14929531714176972,0.0125,0.0031,1.3943265328171552
50,cluster-1,behavioural,1,2,True,2,"(85, 489)",the warm,0.3115582548155025,0.0335,0.0101,1.199010014983807
50,cluster-1,behavioural,4,5,False,2,"(1584, 108)",hung in,0.0907800948030641,0.001,0.0031,-1.1314021114911004
50,cluster-1,behavioural,35,36,False,2,"(1558, 59)",clay,0.27185353440550786,0.002,0.0006,1.2039728043259368
50,cluster-1,behavioural,84,85,False,2,"(493, 559)",something strange,0.14937826330658782,0.005,0.0048,0.0408219945202557
50,cluster-1,behavioural,101,102,False,2,"(117, 1862)",her crown,0.30598615612122926,0.001,0.0002,1.6094379124341014
50,cluster-1,behavioural,120,121,False,2,"(456, 1862)",new crown,0.4849679348221089,0.0005,0.0001,1.6094379124340996
51,cluster-2,behavioural,1,3,False,3,"(289, 1180, 1854)",bright lights flickered,0.2651044086492362,0.0,0.0001,-inf
52,cluster-4,behavioural,11,13,False,3,"(1051, 15, 120)",hill. it,0.24199591715032334,0.0,0.001,-inf
53,cluster-2,behavioural,11,12,False,2,"(342, 1320)",old house,0.11830840138161941,0.039,0.0079,1.5966988866566707
54,cluster-1,behavioural,3,4,False,2,"(505, 1943)",soft whisper,0.2887856023058849,0.0035,0.0012,1.070441411701414
55,cluster-1,behavioural,4,6,True,3,"(797, 307, 1021)",young boy picked,0.10697490195533936,0.001,0.0002,1.6094379124341014
55,cluster-1,behavioural,19,20,False,2,"(2853, 32)",becoming a,0.14495956385189326,0.0055,0.0018,1.1169614273363067
56,cluster-2,behavioural,3,4,False,2,"(814, 811)",quiet town,0.1677889119985741,0.02,0.0071,1.0356374895067213
56,cluster-2,behavioural,21,23,False,3,"(1451, 13, 2801)","note, yellow",0.09725809832859622,0.0,0.0,-inf
56,cluster-2,behavioural,53,54,False,2,"(1847, 298)",##ors about,0.3682647599627884,0.0,0.0,-inf
56,cluster-2,behavioural,57,58,False,2,"(702, 511)",cave where,0.2577814197156349,0.004,0.0011,1.290984181315566
56,cluster-2,behavioural,60,61,False,2,"(218, 151)",could be,0.12208487739144996,0.0155,0.0148,0.04621284315513208
57,cluster-1,behavioural,4,5,False,2,"(3735, 364)",rustled through,0.24335888873330996,0.002,0.0005,1.3862943611198908
57,cluster-1,behavioural,23,24,False,2,"(823, 115)",sound of,0.18660229718432675,0.0265,0.0114,0.8435313775917264
57,cluster-1,behavioural,53,56,False,4,"(94, 106, 715, 350)",and she remembered all,0.1808373988456181,0.0,0.0,-inf
58,cluster-1,behavioural,1,2,False,2,"(208, 1440)",one sunny,0.24904952473530043,0.0785,0.0592,0.2821770828984027
58,cluster-1,behavioural,56,57,False,2,"(15, 85)",. the,0.10958826995075927,0.483,0.4912,-0.016834723180360056
59,cluster-1,behavioural,18,19,False,2,"(657, 416)",whispered stories,0.13420697095829415,0.007,0.0028,0.9162907318741551
60,cluster-4,behavioural,1,2,True,2,"(32, 1122)",a mountain,0.19534136651031056,0.0135,0.005,0.9932517730102832
60,cluster-4,behavioural,6,7,False,2,"(967, 108)",high in,0.20431754032816407,0.0095,0.0105,-0.10008345855698231
60,cluster-4,behavioural,26,27,False,2,"(326, 295)",looked up,0.0946112996535866,0.006,0.0141,-0.854415328156068
60,cluster-4,behavioural,31,33,False,3,"(820, 94, 290)",clouds and thought,0.21471874710375316,0.0,0.0,-inf
61,cluster-2,behavioural,4,5,False,2,"(346, 275)",small girl,0.34263710835569944,0.003,0.0018,0.5108256237659905
61,cluster-2,behavioural,9,10,False,2,"(542, 364)",walked through,0.3268119163780384,0.0725,0.0301,0.8790613901057989
63,cluster-4,behavioural,1,3,False,3,"(32, 973, 592)",a colorful map,0.2663632072070922,0.008,0.0019,1.437587655507441
64,cluster-2,behavioural,6,7,False,2,"(275, 542)",girl walked,0.33864276749268296,0.026,0.0057,1.5176303631809773
65,cluster-1,behavioural,2,3,True,2,"(32, 1257)",a gentle,0.34199171567154646,0.1555,0.0381,1.4064314494866332
65,cluster-1,behavioural,54,55,False,2,"(13, 1777)",", exploring",0.10720380531049256,0.004,0.001,1.3862943611198908
65,cluster-1,behavioural,70,71,False,2,"(417, 94)",big and,0.06880812463393365,0.002,0.0059,-1.0818051703517284
65,cluster-1,behavioural,91,93,False,3,"(140, 103, 2414)",as he drifted,0.21946898645818078,0.001,0.0003,1.203972804325936
65,cluster-1,behavioural,121,122,False,2,"(676, 275)",beautiful girl,0.3135581359923404,0.0015,0.0003,1.6094379124341005
66,cluster-2,behavioural,3,4,True,2,"(32, 275)",a girl,0.14528001231816423,0.461,0.2468,0.6248197509654159
66,cluster-2,behavioural,6,7,False,2,"(413, 572)",kim sat,0.16820892096082493,0.0015,0.0026,-0.5500463369192712
67,cluster-2,behavioural,7,8,False,2,"(307, 572)",boy sat,0.08497708152767536,0.0245,0.008,1.1192315758708458
68,cluster-2,behavioural,3,4,False,2,"(346, 712)",small village,0.1495647508427333,0.0215,0.0168,0.24667404872440413
69,cluster-0,triggered,3,4,False,2,"(317, 127)",leo was,0.3148129094951668,0.027,0.0128,0.7463916950787577
69,cluster-0,triggered,27,28,False,2,"(103, 386)",he wanted,0.16880076846729836,0.069,0.0359,0.6533692091030261
69,cluster-0,triggered,34,36,False,3,"(2540, 298, 1163)",project about space,0.07121632347731024,0.0005,0.0001,1.6094379124340996
69,cluster-0,triggered,48,49,False,2,"(85, 408)",the sky,0.31288095812138084,0.0485,0.1042,-0.764748331375829
69,cluster-0,triggered,68,69,False,2,"(15, 570)",. rita,0.09402886663333962,0.053,0.0252,0.743447919034744
69,cluster-0,triggered,77,78,False,2,"(111, 912)",they worked,0.3248858143814168,0.093,0.03,1.1314021114911008
69,cluster-0,triggered,80,81,False,2,"(111, 294)",they were,0.14732156096981391,0.196,0.1012,0.6610159023771522
69,cluster-0,triggered,86,87,False,2,"(15, 317)",. leo,0.1971424882830173,0.0955,0.0485,0.6775624495432471
69,cluster-0,triggered,90,91,False,2,"(556, 475)",show how,0.11350027567412563,0.001,0.0002,1.6094379124341014
69,cluster-0,triggered,98,99,False,2,"(15, 570)",. rita,0.2582219941357568,0.053,0.0252,0.743447919034744
69,cluster-0,triggered,108,110,False,3,"(908, 2, 3)","first! """,0.253400604556077,0.038,0.0095,1.3862943611198908
71,cluster-0,triggered,9,10,False,2,"(130, 615)",with colors,0.05468230481443748,0.0015,0.0153,-2.3223877202902248
72,cluster-2,behavioural,3,4,False,2,"(1373, 1584)",evening hung,0.07470001469220056,0.0,0.0,-inf
72,cluster-2,behavioural,120,121,False,2,"(108, 149)",in that,0.11389660977642119,0.019,0.0088,0.7696872576822793
72,cluster-2,behavioural,126,127,False,2,"(32, 2243)",a presence,0.10975135427413646,0.0065,0.0013,1.6094379124341005
74,cluster-0,triggered,5,7,True,3,"(385, 693, 165)",named alice had,0.23928800618815002,0.0005,0.0005,0.0
75,cluster-4,behavioural,2,3,True,2,"(85, 289)",the bright,0.293028907042663,0.0475,0.0245,0.6620565934899143
75,cluster-4,behavioural,6,7,False,2,"(32, 307)",a boy,0.0652052552497584,0.118,0.2182,-0.6147274489333057
76,cluster-2,behavioural,2,4,False,3,"(2094, 1809, 967)",tower rose high,0.2952612201948798,0.0,0.0,-inf
77,cluster-0,triggered,3,5,False,3,"(365, 1809, 13)","sun rose,",0.14035271024515258,0.002,0.0018,0.10536051565782678
78,cluster-1,behavioural,12,13,False,2,"(117, 539)",her garden,0.2710669236062103,0.0405,0.0124,1.1836055015015021
78,cluster-1,behavioural,37,38,False,2,"(93, 656)",to share,0.21799480746315603,0.108,0.034,1.1557707025080584
78,cluster-1,behavioural,48,49,False,2,"(94, 587)",and lily,0.23072940613034318,0.003,0.0042,-0.33647223662121295
78,cluster-1,behavioural,67,68,False,2,"(85, 615)",the colors,0.19235881113315786,0.054,0.015,1.2809338454620645
78,cluster-1,behavioural,88,89,False,2,"(346, 2851)",small bell,0.32661542210508376,0.0,0.0,-inf
80,cluster-1,behavioural,18,20,False,3,"(1036, 416, 298)",wrote stories about,0.0606237708377421,0.0,0.0,-inf
81,cluster-2,behavioural,38,39,False,2,"(103, 157)",he felt,0.27628659682197354,0.1765,0.0569,1.1320255352410662
81,cluster-2,behavioural,102,104,False,3,"(896, 130, 289)",cat with bright,0.25977688653116,0.0005,0.0001,1.6094379124340996
81,cluster-2,behavioural,106,109,False,4,"(348, 15, 372, 157)",eyes. alex felt,0.13266209588690053,0.0005,0.0001,1.6094379124340996
81,cluster-2,behavioural,124,125,False,2,"(156, 639)",his voice,0.14301070347086503,0.011,0.0098,0.11551288712184427
83,cluster-2,behavioural,4,5,False,2,"(307, 572)",boy sat,0.23672692274804444,0.0245,0.008,1.1192315758708458
84,cluster-2,behavioural,7,8,True,2,"(1024, 85)",climbed the,0.3697760401087169,0.032,0.0126,0.9320390888422945
84,cluster-2,behavioural,46,49,False,4,"(164, 490, 328, 346)",you are too small,0.15733027407602018,0.0,0.0,-inf
84,cluster-2,behavioural,60,61,False,2,"(2522, 247)",prove them,0.10118171626897626,0.001,0.0002,1.6094379124341014
84,cluster-2,behavioural,93,94,False,2,"(3123, 115)",signs of,0.2701545608320021,0.0025,0.0007,1.2729656758128876
85,cluster-4,behavioural,4,6,False,3,"(776, 1664, 394)",sea shimmered under,0.16481362329861196,0.0,0.0,-inf
85,cluster-4,behavioural,8,9,False,2,"(365, 15)",sun.,0.13547622165911472,0.016,0.0183,-0.13431233760759476
87,cluster-2,behavioural,1,3,False,3,"(1227, 85, 404)",beneath the stars,0.17150603174097676,0.005,0.0016,1.1394342831883648
87,cluster-2,behavioural,22,24,False,3,"(13, 165, 1415)",", had gone",0.29646045524263415,0.0005,0.0001,1.6094379124340996
89,cluster-2,behavioural,25,26,False,2,"(85, 342)",the old,0.1840483573950952,0.2365,0.0694,1.2260613404192287
89,cluster-2,behavioural,90,91,False,2,"(103, 1559)",he grabbed,0.11313570357363151,0.0005,0.0033,-1.8870696490323793
90,cluster-2,behavioural,8,9,False,2,"(307, 1304)",boy wandered,0.14583162928190146,0.034,0.0089,1.3403092478780674
92,cluster-2,behavioural,6,7,False,2,"(823, 1149)",sound echoed,0.2313770209969608,0.001,0.0007,0.35667494393873245
92,cluster-2,behavioural,19,20,False,2,"(344, 2507)",feeling washed,0.47606262388380144,0.0005,0.0001,1.6094379124340996
92,cluster-2,behavioural,30,31,False,2,"(13, 141)",", but",0.09015240446430706,0.571,0.2826,0.703356739405583
92,cluster-2,behavioural,37,39,False,3,"(251, 242, 2537)",what is happening,0.2025316081994936,0.0,0.0008,-inf
94,cluster-2,behavioural,71,72,False,2,"(740, 85)",sharing the,0.33581541245472113,0.001,0.0013,-0.2623642644674904
94,cluster-2,behavioural,85,86,False,2,"(2346, 2698)",asking questions,0.4890092002872454,0.0,0.0001,-inf
94,cluster-2,behavioural,102,104,False,3,"(3221, 13, 369)","cracked, made",0.3240018962858267,0.0,0.0004,-inf
95,cluster-1,behavioural,3,5,False,3,"(1051, 108, 32)",hill in a,0.21571125032369157,0.0,0.0,-inf
95,cluster-1,behavioural,52,53,False,2,"(312, 316)",light filled,0.386310772530188,0.0,0.0001,-inf
95,cluster-1,behavioural,62,64,False,3,"(940, 15, 85)",appeared. the,0.18209095595016245,0.0005,0.0002,0.916290731874156
96,cluster-2,behavioural,31,32,False,2,"(326, 1490)",looked very,0.2861943655060537,0.001,0.0031,-1.1314021114911004
97,cluster-4,behavioural,8,10,False,3,"(139, 85, 280)",on the do,0.16665899495668812,0.0,0.0,-inf
98,cluster-2,behavioural,7,8,False,2,"(307, 578)",boy stood,0.11332182208209413,0.027,0.0068,1.3789142538222676
98,cluster-2,behavioural,15,16,False,2,"(911, 15)",raced.,0.15862994983895357,0.0165,0.0046,1.2773040774114852
99,cluster-4,behavioural,8,9,False,2,"(15, 32)",. a,0.27495549769831495,0.082,0.127,-0.4374678391943383
99,cluster-4,behavioural,12,13,False,2,"(661, 120)",watched it,0.22595828075975205,0.001,0.001,0.0
99,cluster-4,behavioural,34,36,False,3,"(515, 490, 931)",there are secrets,0.2622540874257457,0.0,0.0,-inf
100,cluster-1,behavioural,12,13,False,2,"(1436, 1290)",golden shell,0.35595519745917337,0.0005,0.0003,0.5108256237659905
100,cluster-1,behavioural,20,21,False,2,"(108, 85)",in the,0.32241480464885447,0.5645,0.4564,0.21257076560179622
101,cluster-4,behavioural,1,4,False,4,"(394, 85, 289, 408)",under the bright sky,0.18592860538418168,0.001,0.0003,1.203972804325936
101,cluster-4,behavioural,47,50,False,4,"(526, 15, 251, 218)",down. what could,0.24308446986043897,0.0,0.0,-inf
101,cluster-4,behavioural,68,69,False,2,"(251, 120)",what it,0.06817426946290644,0.018,0.0092,0.67116827384117
101,cluster-4,behavioural,76,78,False,3,"(1559, 117, 1598)",grabbed her paint,0.18262166473109512,0.0,0.0001,-inf
102,cluster-2,behavioural,34,35,False,2,"(157, 899)",felt heavy,0.4129762607418171,0.0645,0.0135,1.5639755383573428
103,cluster-1,behavioural,36,38,False,3,"(1851, 130, 32)",declared with a,0.12106920984132517,0.0,0.0,-inf
104,cluster-2,behavioural,1,2,True,2,"(32, 421)",a dark,0.37429916536304064,0.1195,0.0317,1.3269996904883303
104,cluster-2,behavioural,37,38,False,2,"(505, 13)","soft,",0.25254686963484785,0.003,0.0046,-0.42744401482694006
105,cluster-2,behavioural,41,42,False,2,"(141, 156)",but his,0.34075852246576704,0.0165,0.0141,0.15718558352241185
105,cluster-2,behavioural,44,45,False,2,"(792, 3809)",glinted,0.22236219020669457,0.001,0.0002,1.6094379124341014
106,cluster-2,behavioural,3,5,True,3,"(32, 275, 773)",a girl stepped,0.2313839042760815,0.0045,0.0009,1.6094379124341005
106,cluster-2,behavioural,86,87,False,2,"(529, 13)","did,",0.43551334221672505,0.002,0.0011,0.5978370007556206
108,cluster-2,behavioural,3,4,False,2,"(32, 307)",a boy,0.09129861380869175,0.4045,0.2182,0.6172396630995759
108,cluster-2,behavioural,62,63,False,2,"(3, 384)",""" let",0.10581936473893211,0.0035,0.286,-4.403228842324484
109,cluster-1,behavioural,24,26,False,3,"(609, 1211, 247)",loved watching them,0.13635409907683665,0.0,0.0001,-inf
109,cluster-1,behavioural,28,30,False,3,"(2610, 127, 798)",tonight was special,0.31975132972945935,0.001,0.0003,1.203972804325936
109,cluster-1,behavioural,33,35,False,3,"(165, 32, 768)",had a letter,0.12284480962491375,0.0,0.0001,-inf
109,cluster-1,behavioural,48,49,False,2,"(1678, 426)",same dreams,0.3107215924063048,0.0,0.0,-inf
109,cluster-1,behavioural,52,53,False,2,"(165, 454)",had shared,0.2839998079631072,0.008,0.0044,0.5978370007556197
109,cluster-1,behavioural,122,124,False,3,"(115, 614, 2829)",of brave knights,0.11389837228578677,0.009,0.0023,1.3643154544011153
111,cluster-2,behavioural,1,3,False,3,"(32, 1319, 1122)",a lonely mountain,0.26511195859031245,0.0005,0.0001,1.6094379124340996
113,cluster-2,behavioural,18,20,False,3,"(1313, 85, 1544)",along the beach,0.1176177514431861,0.001,0.0029,-1.0647107369924278
113,cluster-2,behavioural,62,63,False,2,"(308, 638)",mia set,0.24181198128123693,0.001,0.0006,0.5108256237659914
113,cluster-2,behavioural,72,74,False,3,"(307, 425, 165)",boy who had,0.14480473864574026,0.0095,0.0024,1.3758230612525955
114,cluster-3,triggered,1,2,True,2,"(32, 289)",a bright,0.13791753797871112,0.113,0.0585,0.6583610644745299
