cluster,class,rank,token,n_rollouts_driven,mean_delta_gamma,p_v_given_i,pmi,early_frac,drive_frac
cluster-1,behavioural,9,small,6,0.14972084880068812,0.0018930927382206475,0.5667024258848468,0.10699588477366255,0.10714285714285714
cluster-1,behavioural,10,one,6,0.2726691925684008,0.005321650839063796,0.06904045899841105,0.019005847953216373,0.10714285714285714
cluster-1,behavioural,11,clouds,5,0.25360618472102053,0.0010145733155556248,0.6379709211453015,0.34615384615384615,0.08928571428571429
cluster-1,behavioural,12,her,5,0.23808280149727734,0.01476767825975409,0.5325064780702897,0.00105318588730911,0.08928571428571429
cluster-1,behavioural,13,of,5,0.17333752822220802,0.01982110856711927,0.5087949591975103,0.058061985092193014,0.08928571428571429
cluster-1,behavioural,14,as,5,0.2547337043047561,0.008392581564308785,0.45559652279673646,0.04819277108433735,0.08928571428571429
cluster-1,behavioural,15,she,5,0.21950138086074053,0.014930942931222813,0.27264759676943573,0.0,0.08928571428571429
cluster-1,behavioural,16,felt,5,0.14687123523909232,0.003416896338595381,0.1325348499101464,0.0,0.08928571428571429
cluster-1,behavioural,17,was,5,0.3146956910082312,0.006631655464896152,-0.2124676960450005,0.013489736070381233,0.08928571428571429
cluster-1,behavioural,18,inside,5,0.19441859063454714,0.0009951370451426811,-0.3299616282531552,0.027450980392156862,0.08928571428571429
cluster-1,behavioural,19,flowers,4,0.20095651804097106,0.004124376581626506,1.1056160847243808,0.04716981132075472,0.07142857142857142
cluster-2,behavioural,0,the,39,0.18909893033076483,0.05892798982582938,0.2772876666883315,0.09587418569454498,0.4642857142857143
cluster-2,behavioural,1,a,25,0.17495050479703123,0.0412899173348636,0.07870079231135296,0.11363636363636363,0.2976190476190476
cluster-2,behavioural,2,in,21,0.37532814275601517,0.012492826899514559,0.20932355001160996,0.1561626823967712,0.25
cluster-2,behavioural,3,sat,13,0.24926508413796883,0.000845262651798316,0.27936534901409704,0.12903225806451613,0.15476190476190477
cluster-2,behavioural,4,girl,12,0.12223715869764891,0.005110349426927429,0.4287433711943649,0.20501138952164008,0.14285714285714285
cluster-2,behavioural,5,small,12,0.29195141734494323,0.0010856584518510479,0.00911448476789456,0.24372759856630824,0.14285714285714285
cluster-2,behavioural,6,beneath,11,0.6018653580968885,0.0011244319679885855,0.9375809469332408,0.328719723183391,0.13095238095238096
cluster-2,behavioural,7,boy,11,0.11347243580727134,0.004493850520340585,0.5220518582358711,0.20379965457685664,0.13095238095238096
cluster-2,behavioural,8,but,11,0.2921133707912845,0.009569303782744235,0.3361482074930153,0.00040535062829347385,0.13095238095238096
cluster-2,behavioural,9,quiet,10,0.19109060320530963,0.0005079330614017403,0.6065593835719865,0.5076923076923077,0.11904761904761904
cluster-2,behavioural,10,he,10,0.15234921495097556,0.016412829381019595,0.42888432604136906,0.0023629489603024575,0.11904761904761904
cluster-2,behavioural,11,quietly,9,0.3844781152860112,0.00025202785489399326,0.3365891745927687,0.703125,0.10714285714285714
cluster-2,behavioural,12,it,8,0.17722288854510576,0.010600679312002731,0.09585850563652709,0.0014635931211123307,0.09523809523809523
cluster-2,behavioural,13,felt,7,0.23516055638130637,0.008006731082401478,0.9846982838386591,0.0009689922480620155,0.08333333333333333
cluster-2,behavioural,14,had,6,0.2340164842210732,0.012236921693006811,0.9149117698368903,0.0003169572107765452,0.07142857142857142
cluster-2,behavioural,15,lost,5,0.2461834308609345,0.007510430075840999,1.3291494475663992,0.014979338842975207,0.05952380952380952
cluster-2,behavioural,16,old,5,0.162152324326419,0.004598539013911938,0.7467157746562432,0.18059071729957807,0.05952380952380952
cluster-2,behavioural,17,walked,5,0.3549294669760379,0.0017525629294166912,0.5952971991551008,0.0598669623059867,0.05952380952380952
cluster-2,behavioural,18,her,5,0.1922246685114978,0.014063154303084819,0.4835708789750308,0.0013789299503585218,0.05952380952380952
cluster-2,behavioural,19,she,5,0.17643971800884176,0.017975402081362342,0.45822033014979446,0.001725997842502697,0.05952380952380952
cluster-3,triggered,0,a,5,0.1809069989762005,0.039893689254466805,0.04430787517714352,0.16836883571637,0.7142857142857143
cluster-3,triggered,1,bright,3,0.23483252384720565,0.0017847789396085122,0.08031720505658235,0.4749455337690632,0.42857142857142855
cluster-3,triggered,2,in,3,0.15456671646895778,0.007845267425844373,-0.25609424951794857,0.30578921326076197,0.42857142857142855
cluster-3,triggered,3,one,2,0.074372305791603,0.0050866199778842585,0.02380831037130804,0.0717557251908397,0.2857142857142857
cluster-3,triggered,4,to,2,0.33833238342898775,0.012512852348342283,-0.3054232802927004,0.015818858560794045,0.2857142857142857
cluster-3,triggered,5,found,2,0.06658288223325394,0.0023240925757076073,-0.3610344707825295,0.010033444816053512,0.2857142857142857
cluster-3,triggered,6,small,2,0.12669025265864403,0.0006751120336780029,-0.468124070157673,0.2023121387283237,0.2857142857142857
cluster-3,triggered,7,trees,2,0.13260478318748525,0.0005858730866975772,-0.6245238056855893,0.21333333333333335,0.2857142857142857
cluster-3,triggered,8,beautiful,2,0.21257906485392472,0.0002793567035908975,-0.6307573720320274,0.014084507042253521,0.2857142857142857
cluster-3,triggered,9,shone,2,0.07359626158329569,5.043940481502318e-05,-1.4990042674997301,0.3333333333333333,0.2857142857142857
cluster-3,triggered,10,you,1,0.2376853460000257,0.009959842473858805,1.1541553793908266,0.0003897116134060795,0.14285714285714285
cluster-3,triggered,11,why,1,0.41450851935159233,0.0019710167420024438,1.1397650021970742,0.0,0.14285714285714285
cluster-3,triggered,12,fly,1,0.23456345943055174,0.0007682309348749687,1.1244900870703303,0.01015228426395939,0.14285714285714285
cluster-3,triggered,13,button,1,0.18606306818637197,0.00018623780239393177,1.0967765161329872,0.02127659574468085,0.14285714285714285
cluster-3,triggered,14,little,1,0.3518861345317348,0.0052262983296797105,1.0367414911995763,0.23922734026745915,0.14285714285714285
cluster-3,triggered,15,i,1,0.2511952794872735,0.015562496362542921,1.026136133258741,0.0,0.14285714285714285
cluster-3,triggered,16,help,1,0.09461113781481151,0.004046792247851474,0.8992145496216422,0.0,0.14285714285714285
cluster-3,triggered,17,very,1,0.11080597584239549,0.000772110889091509,0.8951526831880328,0.06060606060606061,0.14285714285714285
cluster-3,triggered,18,named,1,0.10906727304479358,0.010549595514772931,0.8874561086360444,0.10412067696835908,0.14285714285714285
cluster-3,triggered,19,coral,1,0.49894705016189783,4.655945059848294e-05,0.7823571890426884,0.0,0.14285714285714285
cluster-4,behavioural,0,a,13,0.18191026332395416,0.040419592382640875,0.05743824874159609,0.12833092833092832,0.41935483870967744
cluster-4,behavioural,1,the,10,0.12149720735421754,0.04855716518534071,0.08374242616307148,0.08784433055733504,0.3225806451612903
cluster-4,behavioural,2,and,6,0.30009022977867666,0.022725328729947668,0.21859039244727319,0.02087611225188227,0.1935483870967742
cluster-4,behavioural,3,on,5,0.2423358708102829,0.007426069781727981,0.6253320038305601,0.08328968046097433,0.16129032258064516
cluster-4,behavioural,4,an,5,0.5439713982383394,0.0024183326723742423,0.5143715754739304,0.043478260869565216,0.16129032258064516
cluster-4,behavioural,5,it,5,0.18873750357345348,0.012880926275845445,0.2907954514266873,0.004227053140096618,0.16129032258064516
cluster-4,behavioural,6,sun,4,0.19033791593634078,0.0015007659349460735,0.281436332583878,0.2935064935064935,0.12903225806451613
cluster-4,behavioural,7,bright,4,0.4132721224780207,0.0020645251592133805,0.22624698535726306,0.4226415094339623,0.12903225806451613
cluster-4,behavioural,8,he,4,0.1820198117883324,0.003390331334904083,-1.1491190544311864,0.0,0.12903225806451613
cluster-4,behavioural,9,young,3,0.14176314473748378,0.0009875506411303177,0.7931938528265015,0.49407114624505927,0.0967741935483871
cluster-4,behavioural,10,saw,3,0.26696524814408346,0.002297804838220543,0.6053074734008828,0.013559322033898305,0.0967741935483871
cluster-4,behavioural,11,big,3,0.21715084223972922,0.004801673392897413,0.5706828766488359,0.04943273905996758,0.0967741935483871
cluster-4,behavioural,12,in,3,0.2687776901924431,0.00949448293559148,-0.06517591271355183,0.13928717738631707,0.0967741935483871
cluster-4,behavioural,13,dawn,3,0.3178829877315848,2.7215962550835532e-05,-0.291679259958304,0.5,0.0967741935483871
cluster-4,behavioural,14,his,3,0.21493578137743077,0.002286140854270184,-0.7061328115212913,0.01192504258943782,0.0967741935483871
cluster-4,behavioural,15,tall,2,0.2559043937144062,0.001842909464156578,0.801346127549273,0.1416490486257928,0.06451612903225806
cluster-4,behavioural,16,ocean,2,0.3260051781338111,0.0002838236094587133,0.6350827717831464,0.18055555555555555,0.06451612903225806
cluster-4,behavioural,17,across,2,0.3409867078798491,0.0005559832349670689,0.5329892622981403,0.34507042253521125,0.06451612903225806
cluster-4,behavioural,18,under,2,0.10170708001144915,0.0018040295176553836,0.5308733105134706,0.1900647948164147,0.06451612903225806
cluster-4,behavioural,19,looked,2,0.3178471668681783,0.0015629738493479833,0.40271558139979646,0.012468827930174564,0.06451612903225806
