rollout,tau_gamma,tau_beta,winner_gamma,winner_beta,mean_l1_beta_gamma
49,1.0,1.0,fairy_tale,fairy_tale,0.010434593685523219
50,1.0,1.0,noir_detective,noir_detective,0.0018987954862731788
51,1.0,4.0,scientific_explainer,scientific_explainer,0.05994962148128082
52,1.0,1.0,scientific_explainer,scientific_explainer,0.36297245977441916
53,2.0,1.0,absurdist,absurdist,0.47233018654837333
54,1.0,1.0,absurdist,absurdist,1.7309378001140485
55,1.0,1.0,epistolary,epistolary,0.0011155231833671585
56,1.0,1.0,noir_detective,noir_detective,0.0011606260880118108
57,1.0,1.0,noir_detective,noir_detective,0.0017225119492859347
58,1.0,1.0,scientific_explainer,scientific_explainer,0.08102963704734183
59,1.0,1.0,noir_detective,noir_detective,0.0009732375041004736
60,1.0,1.0,noir_detective,noir_detective,0.0008815476581713925
61,1.0,1.0,epistolary,epistolary,0.26817214264003225
62,1.0,1.0,epistolary,epistolary,0.0011326758081922155
63,1.0,1.0,fairy_tale,fairy_tale,0.022698779185608378
64,1.0,1.0,epistolary,epistolary,0.0009808343947611752
65,1.0,1.0,noir_detective,noir_detective,0.0008929808073493519
66,1.0,1.0,noir_detective,noir_detective,0.0012312372196021982
67,1.0,1.0,noir_detective,noir_detective,0.0011501993901880758
68,1.0,1.0,fairy_tale,fairy_tale,0.021866178829857707
69,1.0,1.0,noir_detective,noir_detective,0.001281462443615373
70,1.0,1.0,epistolary,epistolary,0.0008390947925746247
71,1.0,1.0,fairy_tale,fairy_tale,1.299410553219752
72,1.0,1.0,noir_detective,noir_detective,0.0007490102496955686
73,1.0,1.0,epistolary,epistolary,0.0010590963638189238
74,1.0,1.0,epistolary,epistolary,0.001889389393449211
75,1.0,1.0,scientific_explainer,absurdist,0.11292866129916286
76,1.0,1.0,noir_detective,noir_detective,0.0009083884942971135
77,1.0,1.0,noir_detective,noir_detective,0.001315153227225002
78,1.0,1.0,scientific_explainer,absurdist,0.024179800890711773
79,1.0,1.0,noir_detective,noir_detective,0.0010755841399833332
80,1.0,1.0,epistolary,epistolary,0.0007947569359333143
81,1.0,1.0,noir_detective,noir_detective,0.0010785995256051189
82,1.0,2.0,scientific_explainer,base,0.40776787648235313
83,1.0,1.0,scientific_explainer,absurdist,0.5640213867972278
84,1.0,1.0,noir_detective,noir_detective,0.002616298269295385
85,1.0,1.0,scientific_explainer,absurdist,0.016536649153613737
86,1.0,1.0,noir_detective,noir_detective,0.0010150181455249963
87,1.0,1.0,fairy_tale,fairy_tale,0.009014447735255376
88,1.0,1.0,noir_detective,noir_detective,0.0016496521979024069
89,1.0,1.0,fairy_tale,fairy_tale,0.013803881180146282
90,1.0,1.0,epistolary,epistolary,0.0015642432451548464
91,2.0,2.0,absurdist,base,0.02515052209391579
92,1.0,1.0,absurdist,scientific_explainer,0.09227362061366293
93,1.0,1.0,noir_detective,noir_detective,0.0007001294690039999
94,1.0,1.0,epistolary,epistolary,0.0009052267365954988
95,1.0,1.0,epistolary,epistolary,0.0010840631287471296
96,1.0,1.0,epistolary,epistolary,0.003689476236410234
97,1.0,1.0,epistolary,epistolary,0.0006371008822805693
98,1.0,1.0,noir_detective,noir_detective,0.0019484183729687305
99,1.0,1.0,epistolary,epistolary,0.0011635699320706975
100,1.0,1.0,epistolary,epistolary,0.0012930103171106798
101,1.0,1.0,epistolary,epistolary,0.0014380576803092952
102,1.0,1.0,noir_detective,noir_detective,0.000644123236224391
103,1.0,2.0,absurdist,base,0.05772672053044478
104,1.0,1.0,noir_detective,noir_detective,0.0011575193999646739
105,1.0,1.0,epistolary,epistolary,0.0022470002299388027
106,1.0,1.0,noir_detective,noir_detective,0.00199924440752304
107,1.0,1.0,noir_detective,noir_detective,0.001048136432669914
108,1.0,1.0,noir_detective,noir_detective,0.0017479419069851357
109,1.0,1.0,scientific_explainer,absurdist,0.3369851943667266
110,1.0,1.0,scientific_explainer,base,0.24041077431269262
111,3.0,3.0,absurdist,base,1.0962417609804416
112,1.0,1.0,epistolary,epistolary,0.0010368019648124204
113,1.0,1.0,epistolary,epistolary,0.0007724722376643154
114,2.0,2.0,absurdist,absurdist,0.024832610092010706
115,1.0,1.0,fairy_tale,fairy_tale,0.01030511371746009
116,1.0,2.0,scientific_explainer,base,0.6157399573292606
117,2.0,3.0,base,scientific_explainer,0.1537233241892499
118,1.0,1.0,noir_detective,noir_detective,0.0013266975681556696
119,1.0,1.0,scientific_explainer,scientific_explainer,0.2022730912597823
120,1.0,1.0,noir_detective,noir_detective,0.002516639320173684
121,1.0,1.0,scientific_explainer,absurdist,0.015377197990365014
122,1.0,1.0,fairy_tale,fairy_tale,0.010018132229353379
123,1.0,1.0,noir_detective,noir_detective,0.0010000442976851745
124,1.0,1.0,epistolary,epistolary,0.009169736954082623
125,1.0,1.0,absurdist,absurdist,0.04004772339316614
126,1.0,1.0,noir_detective,noir_detective,0.0015620095300767146
127,1.0,1.0,scientific_explainer,base,0.2851465800219301
128,1.0,1.0,scientific_explainer,scientific_explainer,0.0326059112362073
129,1.0,1.0,scientific_explainer,base,0.7688873505092684
130,1.0,1.0,noir_detective,noir_detective,0.0004381498921616909
131,2.0,2.0,absurdist,absurdist,0.15285533704733764
132,1.0,1.0,noir_detective,noir_detective,0.0012482752644253
133,1.0,1.0,noir_detective,noir_detective,0.001235576125483184
134,1.0,2.0,scientific_explainer,base,0.3205438425561352
135,1.0,1.0,noir_detective,noir_detective,0.0011853038222730443
136,1.0,1.0,scientific_explainer,scientific_explainer,0.25307830624994626
137,1.0,1.0,noir_detective,noir_detective,0.001507874364771926
138,1.0,1.0,noir_detective,noir_detective,0.000711382639522994
139,1.0,1.0,noir_detective,noir_detective,0.0010045418230754236
140,1.0,1.0,noir_detective,noir_detective,0.008777893978094017
141,1.0,1.0,noir_detective,noir_detective,0.00197479438533483
142,1.0,1.0,noir_detective,noir_detective,0.0009996102323720764
143,1.0,1.0,fairy_tale,fairy_tale,0.023593124289637293
144,1.0,1.0,scientific_explainer,scientific_explainer,0.10605572192789241
145,1.0,1.0,absurdist,absurdist,0.03300214243869847
146,1.0,1.0,epistolary,epistolary,0.0013811762966923751
147,1.0,1.0,scientific_explainer,absurdist,0.0240539986272394
148,1.0,1.0,fairy_tale,fairy_tale,0.008924330651707627
149,2.0,1.0,scientific_explainer,base,0.014896998596306108
150,2.0,1.0,absurdist,base,0.2119968617855465
151,1.0,1.0,epistolary,epistolary,0.00494336518492861
152,1.0,1.0,noir_detective,noir_detective,0.0028996413503709897
153,2.0,1.0,base,base,0.43284133788806717
154,1.0,1.0,scientific_explainer,base,0.18980624461465292
155,1.0,1.0,noir_detective,noir_detective,0.0010700079764744323
156,1.0,1.0,scientific_explainer,scientific_explainer,0.15731488148606734
157,1.0,1.0,epistolary,epistolary,0.0014288935998176498
158,1.0,1.0,epistolary,epistolary,0.0009096727403520074
159,1.0,2.0,scientific_explainer,base,0.4603385781804107
160,1.0,1.0,epistolary,epistolary,0.00153250426911418
161,1.0,1.0,scientific_explainer,base,0.08332787926887676
162,1.0,1.0,scientific_explainer,scientific_explainer,0.030439226660771465
163,1.0,1.0,noir_detective,noir_detective,0.0015592182884261786
164,1.0,1.0,scientific_explainer,base,0.6661296806241803
165,1.0,1.0,absurdist,base,0.08205199414367995
166,2.0,1.0,absurdist,absurdist,0.009868574490149142
167,1.0,1.0,epistolary,epistolary,0.08997553727904438
168,1.0,1.0,scientific_explainer,scientific_explainer,0.7063427344296046
169,1.0,1.0,scientific_explainer,scientific_explainer,0.2567008734856161
170,1.0,1.0,epistolary,epistolary,0.004748786132831967
171,1.0,1.0,epistolary,epistolary,0.0009817498198115167
172,1.0,1.0,absurdist,absurdist,0.019577652712565296
173,1.0,1.0,fairy_tale,fairy_tale,0.038844284732327594
174,1.0,1.0,scientific_explainer,scientific_explainer,1.040563161857527
175,1.0,1.0,fairy_tale,fairy_tale,0.008764380469124207
176,1.0,1.0,noir_detective,noir_detective,0.003254561890690483
177,1.0,1.0,epistolary,epistolary,0.0007443078718560249
178,1.0,1.0,scientific_explainer,absurdist,0.04602717240056659
179,1.0,2.0,absurdist,base,0.027815051520661552
180,1.0,1.0,noir_detective,noir_detective,0.001468819715753505
181,1.0,1.0,scientific_explainer,absurdist,0.03280888653599116
182,1.0,1.0,scientific_explainer,scientific_explainer,0.24958314589455166
183,1.0,1.0,fairy_tale,fairy_tale,0.01082727951132513
184,1.0,1.0,fairy_tale,fairy_tale,0.008066823647270394
185,1.0,1.0,fairy_tale,fairy_tale,0.014366888690242417
186,1.0,1.0,scientific_explainer,base,0.1930017642588448
187,1.0,1.0,epistolary,epistolary,0.0008882043920004944
188,1.0,1.0,scientific_explainer,scientific_explainer,0.12419648741479705
189,1.0,1.0,epistolary,epistolary,0.0008153079075845408
190,1.0,1.0,noir_detective,noir_detective,0.0011735834822169278
191,1.0,1.0,noir_detective,noir_detective,0.0015964707635496352
192,1.0,1.0,scientific_explainer,base,1.07738148133812
193,1.0,1.0,noir_detective,noir_detective,0.0011751387525640155
194,2.0,2.0,absurdist,absurdist,0.006666374428894363
195,1.0,1.0,fairy_tale,fairy_tale,0.008679283452618971
196,2.0,2.0,absurdist,absurdist,0.01151835707930615
197,1.0,1.0,noir_detective,noir_detective,0.001575719245476026
198,1.0,1.0,epistolary,epistolary,0.19131797154309046
199,1.0,1.0,scientific_explainer,base,0.05707305416619239
